Wavelength (nm),P3HTPCBMBlendDCB_n,P3HTPCBMBlendDCB_k,n0,k0
477,1.72,0.3202574,1.5,0
478,1.725,0.322366,1.5,0
479,1.73,0.3242098,1.5,0
480,1.73,0.3260603,1.5,0
481,1.74,0.3296177,1.5,0
482,1.75,0.3331817,1.5,0
483,1.75,0.335549,1.5,0
484,1.76,0.3379094,1.5,0
485,1.77,0.3399162,1.5,0
486,1.77,0.3419165,1.5,0
487,1.78,0.3453517,1.5,0
488,1.79,0.3487869,1.5,0
489,1.8,0.3508758,1.5,0
490,1.8,0.3529648,1.5,0
491,1.805,0.3549314,1.5,0
492,1.81,0.3568981,1.5,0
493,1.82,0.3589055,1.5,0
494,1.82,0.3609131,1.5,0
495,1.83,0.3645798,1.5,0
496,1.84,0.3682466,1.5,0
497,1.85,0.3701179,1.5,0
498,1.85,0.3719892,1.5,0
499,1.86,0.3756013,1.5,0
500,1.87,0.3792066,1.5,0
501,1.88,0.3811665,1.5,0
502,1.88,0.3831264,1.5,0
503,1.89,0.3867522,1.5,0
504,1.9,0.3903781,1.5,0
505,1.9,0.3900194,1.5,0
506,1.9,0.3896606,1.5,0
507,1.91,0.3929875,1.5,0
508,1.92,0.3963075,1.5,0
509,1.92,0.3974517,1.5,0
510,1.93,0.3985959,1.5,0
511,1.94,0.4016441,1.5,0
512,1.95,0.4046855,1.5,0
513,1.95,0.4052657,1.5,0
514,1.96,0.4058391,1.5,0
515,1.96,0.4062425,1.5,0
516,1.97,0.4066459,1.5,0
517,1.98,0.4068045,1.5,0
518,1.98,0.4069632,1.5,0
519,1.98,0.4071491,1.5,0
520,1.99,0.4073349,1.5,0
521,1.99,0.407576,1.5,0
522,2,0.4078104,1.5,0
523,2.01,0.4079904,1.5,0
524,2.01,0.4081637,1.5,0
525,2.02,0.4084342,1.5,0
526,2.02,0.4087127,1.5,0
527,2.03,0.4091272,1.5,0
528,2.03,0.409535,1.5,0
529,2.03,0.4099971,1.5,0
530,2.04,0.4104524,1.5,0
531,2.04,0.4100782,1.5,0
532,2.045,0.4096971,1.5,0
533,2.05,0.4095745,1.5,0
534,2.05,0.4094451,1.5,0
535,2.05,0.4103629,1.5,0
536,2.06,0.4112739,1.5,0
537,2.06,0.4104509,1.5,0
538,2.06,0.4096212,1.5,0
539,2.07,0.4108315,1.5,0
540,2.07,0.412035,1.5,0
541,2.07,0.4134289,1.5,0
542,2.08,0.4148296,1.5,0
543,2.08,0.4138844,1.5,0
544,2.08,0.4129392,1.5,0
545,2.08,0.4128576,1.5,0
546,2.085,0.412776,1.5,0
547,2.09,0.4124226,1.5,0
548,2.09,0.4120692,1.5,0
549,2.09,0.4122123,1.5,0
550,2.1,0.4123622,1.5,0
551,2.1,0.4099756,1.5,0
552,2.1,0.4075899,1.5,0
553,2.11,0.4069451,1.5,0
554,2.11,0.406307,1.5,0
555,2.11,0.4052473,1.5,0
556,2.12,0.4041945,1.5,0
557,2.12,0.40085,1.5,0
558,2.12,0.3975056,1.5,0
559,2.13,0.3959631,1.5,0
560,2.13,0.3944275,1.5,0
561,2.13,0.3906003,1.5,0
562,2.13,0.3867732,1.5,0
563,2.14,0.3843468,1.5,0
564,2.14,0.3819137,1.5,0
565,2.14,0.3778485,1.5,0
566,2.14,0.3737834,1.5,0
567,2.14,0.3709832,1.5,0
568,2.15,0.3681761,1.5,0
569,2.15,0.3639207,1.5,0
570,2.15,0.3596652,1.5,0
571,2.15,0.3556138,1.5,0
572,2.15,0.3515556,1.5,0
573,2.15,0.3464706,1.5,0
574,2.14,0.3413856,1.5,0
575,2.14,0.337885,1.5,0
576,2.14,0.3343854,1.5,0
577,2.14,0.3313557,1.5,0
578,2.14,0.3283261,1.5,0
579,2.14,0.3256365,1.5,0
580,2.14,0.3229469,1.5,0
581,2.13,0.3201488,1.5,0
582,2.13,0.3173512,1.5,0
583,2.13,0.3159272,1.5,0
584,2.13,0.31451,1.5,0
585,2.13,0.3129364,1.5,0
586,2.12,0.311356,1.5,0
587,2.12,0.3111493,1.5,0
588,2.12,0.3109425,1.5,0
589,2.12,0.3112661,1.5,0
590,2.12,0.3115898,1.5,0
591,2.12,0.3122602,1.5,0
592,2.12,0.3129307,1.5,0
593,2.12,0.3136148,1.5,0
594,2.12,0.3142921,1.5,0
595,2.12,0.3150034,1.5,0
596,2.12,0.3157079,1.5,0
597,2.12,0.3161948,1.5,0
598,2.12,0.3166818,1.5,0
599,2.12,0.3166451,1.5,0
600,2.12,0.3166016,1.5,0
